steps,avg_rewards,epsilon,loss
10000,1.4500000476837158,0.9048369656147537,0.00290153457425331
20000,1.9000002145767212,0.8187299343429234,0.004571375562471803
30000,2.200000286102295,0.7408171094488248,0.004320107817807002
40000,2.200000286102295,0.6703187053891713,0.003611113162382389
50000,2.250000238418579,0.606529143379149,0.0034274515668366802
60000,2.200000286102295,0.5488099896521104,0.003811505345025216
70000,2.0500001907348633,0.4965835657358831,0.0034879258618166205
80000,2.250000238418579,0.44932716679461515,0.0042215815010451475
90000,3.3499999046325684,0.4065678301707155,0.004054226181152626
100000,2.8500001430511475,0.3678776017682482,0.003813292232394451
110000,3.25,0.3328692529016169,0.0038401385172473967
120000,3.200000047683716,0.3011924047419503,0.004449807155237067
130000,3.1000001430511475,0.27253002157291667,0.004741218878285144
140000,2.8000001907348633,0.2465952377589643,0.0037945956743875285
150000,2.450000286102295,0.2231284866688706,0.003590901437305729
160000,3.549999952316284,0.20189490281967454,0.004148040510484134
170000,2.750000238418579,0.18268197124044036,0.004046349926634866
180000,3.4000000953674316,0.16529740052972253,0.003441811832821986
190000,2.700000286102295,0.14956719831932092,0.0037398098682664568
200000,2.950000286102295,0.13533392988275578,0.003469465141177352
