steps,avg_rewards,epsilon,loss
10000,1.9000002145767212,0.9048369656147537,0.0031987337862330605
20000,2.3500001430511475,0.8187299343429234,0.008940826842724346
30000,2.700000286102295,0.7408171094488248,0.009723351071635262
40000,2.3000001907348633,0.6703187053891713,0.008607357656187378
50000,2.4000000953674316,0.606529143379149,0.006969190241477918
60000,3.0500001907348633,0.5488099896521104,0.005859691638045479
70000,2.950000286102295,0.4965835657358831,0.0062613408153643834
80000,3.5999999046325684,0.44932716679461515,0.006528560128150275
90000,3.25,0.4065678301707155,0.006643630416650558
100000,2.950000286102295,0.3678776017682482,0.00621131407301873
110000,3.5999999046325684,0.3328692529016169,0.006272960599005455
120000,3.450000047683716,0.3011924047419503,0.006138074147707084
130000,3.799999952316284,0.27253002157291667,0.005548940448777285
140000,3.3499999046325684,0.2465952377589643,0.006292743059137138
150000,3.8499999046325684,0.2231284866688706,0.006384368175658165
160000,3.1500000953674316,0.20189490281967454,0.00680106514566578
170000,2.9000000953674316,0.18268197124044036,0.007218523135676514
180000,3.4000000953674316,0.16529740052972253,0.006157111836312106
190000,3.8499999046325684,0.14956719831932092,0.0060663635281322055
200000,3.6500000953674316,0.13533392988275578,0.005388592414325103
