steps,avg_rewards,epsilon,loss
10000,1.7000001668930054,0.9048369656147537,0.003246432674549578
20000,2.3000001907348633,0.8187299343429234,0.009709984826098661
30000,2.0500001907348633,0.7408171094488248,0.006947453387716087
40000,2.6000001430511475,0.6703187053891713,0.005742373571265489
50000,2.700000286102295,0.606529143379149,0.0058777707239729355
60000,2.500000238418579,0.5488099896521104,0.006632601335109211
70000,2.8500001430511475,0.4965835657358831,0.005348034256708343
80000,2.700000286102295,0.44932716679461515,0.005557837577164173
90000,3.0500001907348633,0.4065678301707155,0.005762957570905564
100000,2.9000000953674316,0.3678776017682482,0.005233352832501987
110000,2.750000238418579,0.3328692529016169,0.005211408900469542
120000,3.299999952316284,0.3011924047419503,0.00526972095775418
130000,3.6500000953674316,0.27253002157291667,0.0059701176584931095
140000,3.75,0.2465952377589643,0.006376028248382499
150000,2.9000000953674316,0.2231284866688706,0.005806995930545964
160000,3.549999952316284,0.20189490281967454,0.005147353019681759
170000,3.6500000953674316,0.18268197124044036,0.00643888495604624
180000,3.700000047683716,0.16529740052972253,0.005256677205488086
190000,3.25,0.14956719831932092,0.005113330020799185
200000,3.4000000953674316,0.13533392988275578,0.005200550063716946
